tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,Player1_entry,Player1_name,Player1_hand,Player1_ht,Player1_ioc,Player1_age,score,best_of,round,minutes,Player2_id,Player2_seed,Player2_entry,Player2_name,Player2_hand,Player2_ht,Player2_ioc,Player2_age,Player1_id,Player1_seed,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,Player2_rank,Player2_rank_points,Player1_rank,Player1_rank_points,Player2_streak,Player2_max_streak,y
2022-0308,Munich,Clay,32,A,20220425,284,Q,Jiri Lehecka,R,185.0,CZE,20.4,7-6(4) 6-3,3,R32,97.0,208029,,WC,Holger Rune,R,185.0,DEN,18.9,208103,,3.0,2.0,63.0,43.0,30.0,11.0,11.0,1.0,4.0,2.0,2.0,71.0,50.0,29.0,8.0,10.0,7.0,11.0,70.0,859.0,88.0,743.0,1,10,0
2023-0416,Rome Masters,Clay,128,M,20230508,180,,Adrian Mannarino,L,183.0,FRA,34.8,6-1 6-2,3,R128,68.0,106329,,,Thiago Monteiro,L,183.0,BRA,28.9,105173,,4.0,1.0,45.0,26.0,23.0,10.0,8.0,0.0,0.0,1.0,4.0,43.0,26.0,15.0,7.0,7.0,5.0,9.0,98.0,627.0,45.0,927.0,5,5,1
2024-0717,Houston,Clay,32,A,20240401,283,,Duje Ajdukovic,R,185.0,CRO,23.1,6-1 6-4,3,R32,79.0,206909,,,Brandon Nakashima,R,185.0,USA,22.6,207213,,4.0,1.0,50.0,29.0,23.0,14.0,9.0,2.0,2.0,1.0,1.0,47.0,25.0,15.0,13.0,8.0,2.0,5.0,92.0,655.0,115.0,528.0,0,5,1
2022-9569,San Diego,Hard,32,A,20220919,296,,James Duckworth,R,183.0,AUS,30.6,7-6(5) 6-3,3,QF,101.0,106218,3,,Marcos Giron,R,180.0,USA,29.1,105902,7,5.0,2.0,82.0,48.0,35.0,18.0,11.0,6.0,8.0,5.0,2.0,60.0,28.0,19.0,19.0,10.0,0.0,3.0,58.0,791.0,83.0,637.0,0,4,1
2021-560,Us Open,Hard,128,G,20210830,132,Q,Ivo Karlovic,R,208.0,CRO,42.5,6-3 7-6(3) 6-3,5,R128,96.0,126094,5,,Andrey Rublev,R,188.0,RUS,23.8,103333,,8.0,1.0,87.0,68.0,58.0,13.0,17.0,4.0,4.0,19.0,3.0,80.0,56.0,46.0,11.0,14.0,0.0,2.0,7.0,6400.0,221.0,309.0,1,12,0
2020-0495,Dubai,Hard,32,A,20200224,279,Q,Lloyd Harris,R,193.0,RSA,22.9,7-6(5) 6-4,3,R32,84.0,104755,,,Richard Gasquet,R,185.0,FRA,33.6,144750,,2.0,2.0,60.0,36.0,31.0,17.0,11.0,0.0,1.0,13.0,3.0,66.0,43.0,35.0,11.0,11.0,2.0,4.0,56.0,915.0,93.0,641.0,0,5,0
2021-560,Us Open,Hard,128,G,20210830,105,,Gianluca Mager,R,185.0,ITA,26.7,4-6 6-3 7-5 2-6 7-6(3),5,R128,210.0,111442,,,Jordan Thompson,R,183.0,AUS,27.3,126149,,17.0,2.0,145.0,86.0,68.0,33.0,27.0,7.0,12.0,14.0,8.0,162.0,103.0,77.0,27.0,25.0,7.0,11.0,59.0,1090.0,71.0,990.0,0,7,0
2024-9158,Cordoba,Clay,32,A,20240205,287,LL,Thiago Agustin Tirante,R,185.0,ARG,22.8,6-2 6-7(5) 6-2,3,R16,167.0,207680,,,Facundo Diaz Acosta,L,183.0,ARG,23.1,202058,,2.0,5.0,79.0,46.0,34.0,20.0,14.0,4.0,6.0,0.0,2.0,88.0,63.0,41.0,7.0,14.0,6.0,12.0,95.0,634.0,109.0,573.0,0,7,1
2022-7434,Sofia,Hard,32,A,20220926,275,,Jiri Lehecka,R,185.0,CZE,20.8,7-5 6-3,3,R32,90.0,200247,,WC,Alexandar Lazarov,R,185.0,BUL,24.8,208103,,6.0,1.0,66.0,43.0,32.0,15.0,11.0,1.0,2.0,4.0,2.0,73.0,48.0,28.0,13.0,10.0,5.0,8.0,334.0,139.0,74.0,693.0,0,2,1
2020-0375,Montpellier,Hard,32,A,20200203,290,,Mikael Ymer,R,183.0,SWE,21.4,6-1 6-1,3,R16,77.0,105936,7,,Filip Krajinovic,R,185.0,SRB,27.9,144707,,3.0,0.0,46.0,33.0,23.0,7.0,7.0,4.0,5.0,4.0,2.0,69.0,40.0,20.0,7.0,7.0,9.0,15.0,44.0,1113.0,76.0,739.0,0,5,0
2022-0407,Rotterdam,Hard,32,A,20220207,271,LL,Hugo Gaston,L,173.0,FRA,21.3,6-3 6-3,3,R32,78.0,126952,,,Soon Woo Kwon,R,180.0,KOR,24.1,200384,,2.0,1.0,57.0,35.0,23.0,12.0,9.0,4.0,7.0,3.0,1.0,55.0,25.0,15.0,9.0,9.0,6.0,12.0,53.0,1095.0,69.0,921.0,0,7,0
